DATE,COMMUNITY CODE,,ANIMAL,LICENSE VOLUME
04/01/2018,RYV,Royal Vista,CATS,0
04/01/2018,RYV,Royal Vista,DOGS,0
04/01/2018,RUN,Rundle,CATS,239
04/01/2018,RUN,Rundle,DOGS,512
04/01/2018,RUT,Rutland Park,CATS,130
04/01/2018,RUT,Rutland Park,DOGS,192
04/01/2018,SRI,Saddle Ridge Industrial,CATS,0
04/01/2018,SRI,Saddle Ridge Industrial,DOGS,3
04/01/2018,SAD,Saddle Ridge,CATS,100
04/01/2018,SAD,Saddle Ridge,DOGS,327
04/01/2018,SGH,Sage Hill,CATS,125
04/01/2018,SGH,Sage Hill,DOGS,496
04/01/2018,SAN,Sandstone Valley,CATS,136
04/01/2018,SAN,Sandstone Valley,DOGS,412
04/01/2018,SCA,Scarboro,CATS,30
04/01/2018,SCA,Scarboro,DOGS,91
04/01/2018,SSW,Scarboro/ Sunalta West,CATS,12
04/01/2018,SSW,Scarboro/ Sunalta West,DOGS,49
04/01/2018,SCE,Scenic Acres,CATS,249
04/01/2018,SCE,Scenic Acres,DOGS,809
04/01/2018,S23,Section 23,CATS,0
04/01/2018,S23,Section 23,DOGS,0
04/01/2018,SHG,Shaganappi,CATS,54
04/01/2018,SHG,Shaganappi,DOGS,128
04/01/2018,SHS,Shawnee Slopes,CATS,39
04/01/2018,SHS,Shawnee Slopes,DOGS,136
04/01/2018,SHN,Shawnessy,CATS,345
04/01/2018,SHN,Shawnessy,DOGS,826
04/01/2018,SHI,Shepard Industrial,CATS,24
04/01/2018,SHI,Shepard Industrial,DOGS,35
04/01/2018,SHW,Sherwood,CATS,56
04/01/2018,SHW,Sherwood,DOGS,176
04/01/2018,SIG,Signal Hill,CATS,344
04/01/2018,SIG,Signal Hill,DOGS,990
04/01/2018,SIL,Silver Springs,CATS,341
04/01/2018,SIL,Silver Springs,DOGS,909
04/01/2018,SVO,Silverado,CATS,174
04/01/2018,SVO,Silverado,DOGS,521
04/01/2018,SKE,Skyline East,CATS,0
04/01/2018,SKE,Skyline East,DOGS,0
04/01/2018,SKW,Skyline West,CATS,3
04/01/2018,SKW,Skyline West,DOGS,0
04/01/2018,SKR,Skyview Ranch,CATS,158
04/01/2018,SKR,Skyview Ranch,DOGS,369
04/01/2018,SOM,Somerset,CATS,267
04/01/2018,SOM,Somerset,DOGS,636
04/01/2018,SAW,South Airways,CATS,0
04/01/2018,SAW,South Airways,DOGS,1
04/01/2018,SOC,South Calgary,CATS,135
04/01/2018,SOC,South Calgary,DOGS,355
04/01/2018,SFH,South Foothills,CATS,0
04/01/2018,SFH,South Foothills,DOGS,3
04/01/2018,SOV,Southview,CATS,81
04/01/2018,SOV,Southview,DOGS,202
04/01/2018,SOW,Southwood,CATS,290
04/01/2018,SOW,Southwood,DOGS,532
04/01/2018,SPH,Springbank Hill,CATS,204
04/01/2018,SPH,Springbank Hill,DOGS,660
04/01/2018,SPR,Spruce Cliff,CATS,162
04/01/2018,SPR,Spruce Cliff,DOGS,254
04/01/2018,STA,St. Andrews Heights,CATS,37
04/01/2018,STA,St. Andrews Heights,DOGS,86
04/01/2018,STD,Starfield,CATS,0
04/01/2018,STD,Starfield,DOGS,0
04/01/2018,ST1,Stoney 1,CATS,0
04/01/2018,ST1,Stoney 1,DOGS,0
04/01/2018,ST2,Stoney 2,CATS,0
04/01/2018,ST2,Stoney 2,DOGS,0
04/01/2018,ST3,Stoney 3,CATS,0
04/01/2018,ST3,Stoney 3,DOGS,0
04/01/2018,ST4,Stoney 4,CATS,0
04/01/2018,ST4,Stoney 4,DOGS,0
04/01/2018,STR,Strathcona Park,CATS,211
04/01/2018,STR,Strathcona Park,DOGS,642
04/01/2018,SNA,Sunalta,CATS,106
04/01/2018,SNA,Sunalta,DOGS,130
04/01/2018,SDC,Sundance,CATS,374
04/01/2018,SDC,Sundance,DOGS,1140
04/01/2018,SSD,Sunnyside,CATS,154
04/01/2018,SSD,Sunnyside,DOGS,224
04/01/2018,SUN,Sunridge,CATS,3
04/01/2018,SUN,Sunridge,DOGS,4
04/01/2018,TAR,Taradale,CATS,151
04/01/2018,TAR,Taradale,DOGS,391
04/01/2018,TEM,Temple,CATS,295
04/01/2018,TEM,Temple,DOGS,848
04/01/2018,THO,Thorncliffe,CATS,339
04/01/2018,THO,Thorncliffe,DOGS,749
04/01/2018,TUS,Tuscany,CATS,579
04/01/2018,TUS,Tuscany,DOGS,1811
04/01/2018,TUX,Tuxedo Park,CATS,164
04/01/2018,TUX,Tuxedo Park,DOGS,362
04/01/2018,UNI,University Heights,CATS,93
04/01/2018,UNI,University Heights,DOGS,138
04/01/2018,UOC,University Of Calgary,CATS,0
04/01/2018,UOC,University Of Calgary,DOGS,0
04/01/2018,UMR,Upper Mount Royal,CATS,104
04/01/2018,UMR,Upper Mount Royal,DOGS,303
04/01/2018,VAL,Valley Ridge,CATS,169
04/01/2018,VAL,Valley Ridge,DOGS,588
04/01/2018,VAF,Valleyfield,CATS,0
04/01/2018,VAF,Valleyfield,DOGS,2
04/01/2018,VAR,Varsity,CATS,348
04/01/2018,VAR,Varsity,DOGS,788
04/01/2018,VIS,Vista Heights,CATS,78
04/01/2018,VIS,Vista Heights,DOGS,145
04/01/2018,WAL,Walden,CATS,99
04/01/2018,WAL,Walden,DOGS,338
04/01/2018,WHL,West Hillhurst,CATS,196
04/01/2018,WHL,West Hillhurst,DOGS,559
04/01/2018,WSP,West Springs,CATS,188
04/01/2018,WSP,West Springs,DOGS,740
04/01/2018,WGT,Westgate,CATS,116
04/01/2018,WGT,Westgate,DOGS,268
04/01/2018,WES,Westwinds,CATS,0
04/01/2018,WES,Westwinds,DOGS,0
04/01/2018,WHI,Whitehorn,CATS,248
04/01/2018,WHI,Whitehorn,DOGS,552
04/01/2018,WLD,Wildwood,CATS,109
04/01/2018,WLD,Wildwood,DOGS,358
04/01/2018,WIL,Willow Park,CATS,190
04/01/2018,WIL,Willow Park,DOGS,475
04/01/2018,WND,Windsor Park,CATS,125
04/01/2018,WND,Windsor Park,DOGS,206
04/01/2018,WIN,Winston Heights/Mountview,CATS,131
04/01/2018,WIN,Winston Heights/Mountview,DOGS,308
04/01/2018,WBN,Woodbine,CATS,396
04/01/2018,WBN,Woodbine,DOGS,953
04/01/2018,WOO,Woodlands,CATS,235
