DATE,COMMUNITY CODE,COMMUNITY NAME,ANIMAL,LICENSE VOLUME
04/01/2018,RMT,ROSEMONT,DOGS,100
04/01/2018,RCK,ROSSCARROCK,CATS,103
04/01/2018,RCK,ROSSCARROCK,DOGS,179
04/01/2018,ROX,ROXBORO,CATS,13
04/01/2018,ROX,ROXBORO,DOGS,50
04/01/2018,ROY,ROYAL OAK,CATS,276
04/01/2018,ROY,ROYAL OAK,DOGS,779
04/01/2018,RYV,ROYAL VISTA,CATS,0
04/01/2018,RYV,ROYAL VISTA,DOGS,0
04/01/2018,RUN,RUNDLE,CATS,239
04/01/2018,RUN,RUNDLE,DOGS,512
04/01/2018,RUT,RUTLAND PARK,CATS,130
04/01/2018,RUT,RUTLAND PARK,DOGS,192
04/01/2018,SRI,SADDLE RIDGE INDUSTRIAL,CATS,0
04/01/2018,SRI,SADDLE RIDGE INDUSTRIAL,DOGS,3
04/01/2018,SAD,SADDLE RIDGE,CATS,100
04/01/2018,SAD,SADDLE RIDGE,DOGS,327
04/01/2018,SGH,SAGE HILL,CATS,125
04/01/2018,SGH,SAGE HILL,DOGS,496
04/01/2018,SAN,SANDSTONE VALLEY,CATS,136
04/01/2018,SAN,SANDSTONE VALLEY,DOGS,412
04/01/2018,SCA,SCARBORO,CATS,30
04/01/2018,SCA,SCARBORO,DOGS,91
04/01/2018,SSW,SCARBORO/ SUNALTA WEST,CATS,12
04/01/2018,SSW,SCARBORO/ SUNALTA WEST,DOGS,49
04/01/2018,SCE,SCENIC ACRES,CATS,249
04/01/2018,SCE,SCENIC ACRES,DOGS,809
04/01/2018,S23,SECTION 23,CATS,0
04/01/2018,S23,SECTION 23,DOGS,0
04/01/2018,SHG,SHAGANAPPI,CATS,54
04/01/2018,SHG,SHAGANAPPI,DOGS,128
04/01/2018,SHS,SHAWNEE SLOPES,CATS,39
04/01/2018,SHS,SHAWNEE SLOPES,DOGS,136
04/01/2018,SHN,SHAWNESSY,CATS,345
04/01/2018,SHN,SHAWNESSY,DOGS,826
04/01/2018,SHI,SHEPARD INDUSTRIAL,CATS,24
04/01/2018,SHI,SHEPARD INDUSTRIAL,DOGS,35
04/01/2018,SHW,SHERWOOD,CATS,56
04/01/2018,SHW,SHERWOOD,DOGS,176
04/01/2018,SIG,SIGNAL HILL,CATS,344
04/01/2018,SIG,SIGNAL HILL,DOGS,990
04/01/2018,SIL,SILVER SPRINGS,CATS,341
04/01/2018,SIL,SILVER SPRINGS,DOGS,909
04/01/2018,SVO,SILVERADO,CATS,174
04/01/2018,SVO,SILVERADO,DOGS,521
04/01/2018,SKE,SKYLINE EAST,CATS,0
04/01/2018,SKE,SKYLINE EAST,DOGS,0
04/01/2018,SKW,SKYLINE WEST,CATS,3
04/01/2018,SKW,SKYLINE WEST,DOGS,0
04/01/2018,SKR,SKYVIEW RANCH,CATS,158
04/01/2018,SKR,SKYVIEW RANCH,DOGS,369
04/01/2018,SOM,SOMERSET,CATS,267
04/01/2018,SOM,SOMERSET,DOGS,636
04/01/2018,SAW,SOUTH AIRWAYS,CATS,0
04/01/2018,SAW,SOUTH AIRWAYS,DOGS,1
04/01/2018,SOC,SOUTH CALGARY,CATS,135
04/01/2018,SOC,SOUTH CALGARY,DOGS,355
04/01/2018,SFH,SOUTH FOOTHILLS,CATS,0
04/01/2018,SFH,SOUTH FOOTHILLS,DOGS,3
04/01/2018,SOV,SOUTHVIEW,CATS,81
04/01/2018,SOV,SOUTHVIEW,DOGS,202
04/01/2018,SOW,SOUTHWOOD,CATS,290
04/01/2018,SOW,SOUTHWOOD,DOGS,532
04/01/2018,SPH,SPRINGBANK HILL,CATS,204
04/01/2018,SPH,SPRINGBANK HILL,DOGS,660
04/01/2018,SPR,SPRUCE CLIFF,CATS,162
04/01/2018,SPR,SPRUCE CLIFF,DOGS,254
04/01/2018,STA,ST. ANDREWS HEIGHTS,CATS,37
04/01/2018,STA,ST. ANDREWS HEIGHTS,DOGS,86
04/01/2018,STD,STARFIELD,CATS,0
04/01/2018,STD,STARFIELD,DOGS,0
04/01/2018,ST1,STONEY 1,CATS,0
04/01/2018,ST1,STONEY 1,DOGS,0
04/01/2018,ST2,STONEY 2,CATS,0
04/01/2018,ST2,STONEY 2,DOGS,0
04/01/2018,ST3,STONEY 3,CATS,0
04/01/2018,ST3,STONEY 3,DOGS,0
04/01/2018,ST4,STONEY 4,CATS,0
04/01/2018,ST4,STONEY 4,DOGS,0
04/01/2018,STR,STRATHCONA PARK,CATS,211
04/01/2018,STR,STRATHCONA PARK,DOGS,642
04/01/2018,SNA,SUNALTA,CATS,106
04/01/2018,SNA,SUNALTA,DOGS,130
04/01/2018,SDC,SUNDANCE,CATS,374
04/01/2018,SDC,SUNDANCE,DOGS,1140
04/01/2018,SSD,SUNNYSIDE,CATS,154
04/01/2018,SSD,SUNNYSIDE,DOGS,224
04/01/2018,SUN,SUNRIDGE,CATS,3
04/01/2018,SUN,SUNRIDGE,DOGS,4
04/01/2018,TAR,TARADALE,CATS,151
04/01/2018,TAR,TARADALE,DOGS,391
04/01/2018,TEM,TEMPLE,CATS,295
04/01/2018,TEM,TEMPLE,DOGS,848
04/01/2018,THO,THORNCLIFFE,CATS,339
04/01/2018,THO,THORNCLIFFE,DOGS,749
04/01/2018,TUS,TUSCANY,CATS,579
04/01/2018,TUS,TUSCANY,DOGS,1811
04/01/2018,TUX,TUXEDO PARK,CATS,164
04/01/2018,TUX,TUXEDO PARK,DOGS,362
04/01/2018,UNI,UNIVERSITY HEIGHTS,CATS,93
04/01/2018,UNI,UNIVERSITY HEIGHTS,DOGS,138
04/01/2018,UOC,UNIVERSITY OF CALGARY,CATS,0
04/01/2018,UOC,UNIVERSITY OF CALGARY,DOGS,0
04/01/2018,UMR,UPPER MOUNT ROYAL,CATS,104
04/01/2018,UMR,UPPER MOUNT ROYAL,DOGS,303
04/01/2018,VAL,VALLEY RIDGE,CATS,169
04/01/2018,VAL,VALLEY RIDGE,DOGS,588
04/01/2018,VAF,VALLEYFIELD,CATS,0
04/01/2018,VAF,VALLEYFIELD,DOGS,2
04/01/2018,VAR,VARSITY,CATS,348
04/01/2018,VAR,VARSITY,DOGS,788
04/01/2018,VIS,VISTA HEIGHTS,CATS,78
04/01/2018,VIS,VISTA HEIGHTS,DOGS,145
04/01/2018,WAL,WALDEN,CATS,99
04/01/2018,WAL,WALDEN,DOGS,338
04/01/2018,WHL,WEST HILLHURST,CATS,196
04/01/2018,WHL,WEST HILLHURST,DOGS,559
04/01/2018,WSP,WEST SPRINGS,CATS,188
04/01/2018,WSP,WEST SPRINGS,DOGS,740
04/01/2018,WGT,WESTGATE,CATS,116
04/01/2018,WGT,WESTGATE,DOGS,268
04/01/2018,WES,WESTWINDS,CATS,0
04/01/2018,WES,WESTWINDS,DOGS,0
04/01/2018,WHI,WHITEHORN,CATS,248
04/01/2018,WHI,WHITEHORN,DOGS,552
04/01/2018,WLD,WILDWOOD,CATS,109
04/01/2018,WLD,WILDWOOD,DOGS,358
04/01/2018,WIL,WILLOW PARK,CATS,190
